unique_id,district_code,countyname,districtname,schoolname,slug,charter,grade3_math_lvl4,grade3_math_lvl3,pctstdmetandabove_Math3,grade3_math_lvl2,grade3_math_lvl1,grade4_math_lvl4,grade4_math_lvl3,pctstdmetandabove_Math4,grade4_math_lvl2,grade4_math_lvl1,grade5_math_lvl4,grade5_math_lvl3,pctstdmetandabove_Math5,grade5_math_lvl2,grade5_math_lvl1,grade6_math_lvl4,grade6_math_lvl3,pctstdmetandabove_Math6,grade6_math_lvl2,grade6_math_lvl1,grade7_math_lvl4,grade7_math_lvl3,pctstdmetandabove_Math7,grade7_math_lvl2,grade7_math_lvl1,grade8_math_lvl4,grade8_math_lvl3,pctstdmetandabove_Math8,grade8_math_lvl2,grade8_math_lvl1,grade11_math_lvl4,grade11_math_lvl3,pctstdmetandabove_Math11,grade11_math_lvl2,grade11_math_lvl1,pct_standard_exceeded_math,pct_standard_met_math,pctstandardmetandabove__Math_tot,pct_standard_nearly_met_math,pct_standard_not_met_math,grade3_eng_lvl4,grade3_eng_lvl3,pctstdmetandabove_Eng3,grade3_eng_lvl2,grade3_eng_lvl1,grade4_eng_lvl4,grade4_eng_lvl3,pctstdmetandabove_Eng4,grade4_eng_lvl2,grade4_eng_lvl1,grade5_eng_lvl4,grade5_eng_lvl3,pctstdmetandabove_Eng5,grade5_eng_lvl2,grade5_eng_lvl1,grade6_eng_lvl4,grade6_eng_lvl3,pctstdmetandabove_Eng6,grade6_eng_lvl2,grade6_eng_lvl1,grade7_eng_lvl4,grade7_eng_lvl3,pctstdmetandabove_Eng7,grade7_eng_lvl2,grade7_eng_lvl1,grade8_eng_lvl4,grade8_eng_lvl3,pctstdmetandabove_Eng8,grade8_eng_lvl2,grade8_eng_lvl1,grade11_eng_lvl4,grade11_eng_lvl3,pctstdmetandabove_Eng11,grade11_eng_lvl2,grade11_eng_lvl1,pct_standard_exceeded_eng,pct_standard_met_eng,pctstandardmetandabove_Eng_tot,pct_standard_nearly_met_eng,pct_standard_not_met_eng,check_search,check_all,check_3rd_math,check_4th_math,check_5th_math,check_6th_math,check_7th_math,check_8th_math,check_11th_math,check_all_math,check_3rd_eng,check_4th_eng,check_5th_eng,check_6th_eng,check_7th_eng,check_8th_eng,check_11th_eng,check_all_eng
498811108811,498811,Sonoma,Abraxis Charter,Abraxis Charter,abraxis-charter-school,Direct_Funded_Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,
3928553128553,3928553,San Joaquin,Acacia Elementary Charter,Acacia Elementary Charter,acacia-elementary-charter-school,Direct_Funded_Charter,0,0,0,0.25,0.75,0.03,0.06,0.09,0.29,0.63,0,0.03,0.03,0.22,0.75,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.05,0.25,0.7,0,0,0,0.19,0.81,,,,,,0,0.12,0.12,0.18,0.7,,,,,,,,,,,,,,,,,,,,,0,0.07,0.07,0.19,0.74,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,TRUE,,,,,TRUE
3928546128546,3928546,San Joaquin,Acacia Middle Charter,Acacia Middle Charter,acacia-middle-charter-school,Direct_Funded_Charter,,,,,,,,,,,,,,,,0,0.07,0.07,0.19,0.74,0.03,0.08,0.11,0.31,0.58,0,0.14,0.14,0.21,0.64,,,,,,0.01,0.09,0.1,0.25,0.65,,,,,,,,,,,,,,,,0.04,0.07,0.11,0.44,0.44,0.03,0.14,0.17,0.36,0.47,0.07,0.29,0.36,0.36,0.29,,,,,,0.04,0.14,0.18,0.39,0.43,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,TRUE
199926109926,199926,Los Angeles,Academia Avance Charter,Academia Avance Charter,academia-avance-charter-school,Direct_Funded_Charter,,,,,,,,,,,,,,,,0,0.08,0.08,0.35,0.57,0.03,0.22,0.25,0.24,0.51,0.07,0.22,0.29,0.34,0.37,0.07,0.09,0.16,0.33,0.51,0.05,0.17,0.22,0.31,0.47,,,,,,,,,,,,,,,,0,0.14,0.14,0.35,0.51,0,0.24,0.24,0.28,0.49,0.02,0.17,0.2,0.47,0.33,0.17,0.4,0.57,0.17,0.26,0.05,0.24,0.28,0.33,0.38,TRUE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE
1920097120097,1920097,Los Angeles,Academia Moderna,Academia Moderna,academia-moderna-school,Direct_Funded_Charter,0.03,0.19,0.22,0.38,0.4,0.12,0.2,0.32,0.42,0.26,0.06,0.13,0.19,0.38,0.43,,,,,,,,,,,,,,,,,,,,,0.07,0.17,0.25,0.39,0.36,0.1,0.17,0.27,0.24,0.49,0.1,0.24,0.34,0.26,0.4,0.09,0.29,0.38,0.29,0.34,,,,,,,,,,,,,,,,,,,,,0.1,0.23,0.33,0.26,0.41,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE
36312073631207,3631207,San Bernardino,Academy For Academic Excellence,Academy For Academic Excellence,academy-for-academic-excellence-school,Direct_Funded_Charter,0.1,0.38,0.48,0.29,0.23,0.19,0.27,0.46,0.33,0.21,0.06,0.12,0.19,0.35,0.46,0.13,0.23,0.36,0.39,0.25,0.07,0.22,0.28,0.36,0.36,0.08,0.19,0.27,0.33,0.4,0.22,0.28,0.49,0.27,0.24,0.12,0.24,0.35,0.34,0.31,0.19,0.29,0.48,0.26,0.26,0.33,0.16,0.49,0.21,0.3,0.18,0.41,0.58,0.18,0.24,0.17,0.38,0.55,0.29,0.17,0.16,0.45,0.61,0.27,0.13,0.18,0.39,0.57,0.29,0.14,0.61,0.27,0.88,0.11,0.01,0.24,0.34,0.58,0.23,0.18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1925096125096,1925096,Los Angeles,Academy For Enriched Sciences,Academy For Enriched Sciences,academy-for-enriched-sciences-school,Locally_Funded_Charter,0.42,0.4,0.82,0.09,0.09,0.34,0.25,0.58,0.37,0.05,0.21,0.3,0.51,0.3,0.19,,,,,,,,,,,,,,,,,,,,,0.32,0.31,0.63,0.27,0.1,0.49,0.24,0.73,0.16,0.11,0.32,0.26,0.58,0.2,0.22,0.22,0.54,0.76,0.13,0.11,,,,,,,,,,,,,,,,,,,,,0.34,0.35,0.68,0.16,0.15,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE
3929890129890,3929890,San Joaquin,Academy Of Arts And Science San Joaquin,Academy Of Arts And Science San Joaquin,academy-of-arts-and-science-san-joaquin-school,Direct_Funded_Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.04,0.04,0.4,0.56,0.02,0.07,0.1,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.56,0.72,0.16,0.12,0.16,0.43,0.59,0.27,0.14,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,,TRUE,TRUE
3727068127068,3727068,San Diego,Academy Of Arts And Sciences: Del Mar El,Academy Of Arts And Sciences: Del Mar El,academy-of-arts-and-sciences-del-mar-el-school,Direct_Funded_Charter,0.14,0.32,0.45,0.36,0.18,0.09,0.3,0.39,0.26,0.35,0.17,0.03,0.21,0.34,0.45,,,,,,,,,,,,,,,,,,,,,0.14,0.2,0.34,0.32,0.34,0.2,0.4,0.6,0.15,0.25,0.23,0.27,0.5,0.32,0.18,0.07,0.37,0.44,0.22,0.33,,,,,,,,,,,,,,,,,,,,,0.16,0.35,0.51,0.23,0.26,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE
3727084127084,3727084,San Diego,Academy Of Arts And Sciences: Del Mar Mi,Academy Of Arts And Sciences: Del Mar Mi,academy-of-arts-and-sciences-del-mar-mi-school,Direct_Funded_Charter,,,,,,,,,,,,,,,,,,,,,0,0,0,0.38,0.62,0,0.07,0.07,0.27,0.67,0.1,0.14,0.24,0.29,0.48,0.04,0.12,0.16,0.3,0.54,,,,,,,,,,,,,,,,,,,,,0,0.14,0.14,0.57,0.29,0.06,0.56,0.63,0.31,0.06,0.43,0.38,0.81,0.1,0.1,0.17,0.38,0.55,0.31,0.14,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE
