entity_name,entity_slug,pct_standard_met_or_exceeded_eng,pct_standard_nearly_met_eng,pct_standard_not_met_eng
Guadalupe Union Elementary,guadalupe-union-elementary,0.13,0.26,0.61
Pixley Union Elementary,pixley-union-elementary,0.13,0.25,0.62
Vineland Elementary,vineland-elementary,0.14,0.24,0.62
Earlimart Elementary,earlimart-elementary,0.15,0.25,0.6
Terra Bella Union Elementary,terra-bella-union-elementary,0.17,0.22,0.61
Golden Plains Unified,golden-plains-unified,0.17,0.25,0.58
Parlier Unified,parlier-unified,0.17,0.23,0.6
Coachella Valley Unified,coachella-valley-unified,0.18,0.25,0.57
Ravenswood City Elementary,ravenswood-city-elementary,0.18,0.27,0.55
Reef-Sunset Unified,reef-sunset-unified,0.18,0.25,0.57
