entity_name,entity_slug,district_code,districtcode2,grade3_eng_lvl4,grade3_eng_lvl3,grade3_eng_lvl2,grade3_eng_lvl1,grade4_eng_lvl4,grade4_eng_lvl3,grade4_eng_lvl2,grade4_eng_lvl1,grade5_eng_lvl4,grade5_eng_lvl3,grade5_eng_lvl2,grade5_eng_lvl1,grade6_eng_lvl4,grade6_eng_lvl3,grade6_eng_lvl2,grade6_eng_lvl1,grade7_math_lvl4,grade7_math_lvl3,grade7_math_lvl2,grade7_math_lvl1,grade8_eng_lvl4,grade8_eng_lvl3,grade8_eng_lvl2,grade8_eng_lvl1,grade11_eng_lvl4,grade11_eng_lvl3,grade11_eng_lvl2,grade11_eng_lvl1,pct_standard_exceeded_eng,pct_standard_met_eng,pct_standard_met_or_exceeded_eng,pct_standard_nearly_met_eng,pct_standard_not_met_eng,studentswithscores
ABC Unified,abc-unified,1964212,64212,.29,.22,.25,.24,.31,.22,.20,.27,.30,.31,.19,.20,.26,.34,.26,.14,.20,.39,.21,.19,.23,.38,.24,.16,.28,.35,.22,.15,.27,.32,.58,.22,.19,10812
Acalanes Union High,acalanes-union-high,761630,61630,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.51,.34,.10,.4,.51,.34,.85,.10,.4,1010
Ackerman Charter,ackerman-charter,3166761,66761,.33,.33,.21,.12,.28,.38,.18,.16,.21,.39,.21,.18,.7,.39,.31,.22,.22,.41,.20,.17,.9,.43,.31,.17,.,.,.,.,.21,.39,.59,.24,.17,341
Acton-Agua Dulce Unified,acton-agua-dulce-unified,1975309,75309,.16,.26,.26,.32,.22,.35,.18,.25,.9,.18,.12,.61,.15,.30,.32,.23,.11,.31,.33,.24,.8,.36,.41,.16,.18,.26,.37,.20,.14,.29,.43,.29,.28,572
Adelanto Elementary,adelanto-elementary,3667587,67587,.6,.10,.26,.57,.6,.13,.22,.59,.4,.19,.19,.58,.3,.19,.37,.41,.2,.15,.24,.58,.2,.19,.33,.47,.,.,.,.,.4,.16,.20,.27,.54,5190
Alameda County Office of Education,alameda-county-office-of-education,110017,10017,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.*,.*,.*,.*,.*,.*,.*,.*,.2,.2,.10,.84,.1,.1,.3,.8,.86,70
Alameda Unified,alameda-unified,161119,61119,.30,.26,.24,.20,.36,.25,.19,.21,.31,.34,.18,.18,.26,.36,.22,.16,.28,.37,.20,.15,.22,.44,.21,.13,.34,.34,.19,.12,.30,.33,.63,.20,.17,4382
Albany City Unified,albany-city-unified,161127,61127,.37,.27,.20,.15,.39,.29,.20,.12,.47,.36,.12,.5,.32,.40,.20,.8,.32,.43,.12,.13,.22,.48,.20,.10,.40,.28,.20,.11,.35,.36,.72,.18,.10,1884
Alexander Valley Union Elementary,alexander-valley-union-elementary,4970599,70599,.29,.35,.18,.18,.12,.29,.29,.29,.19,.38,.19,.25,.11,.72,.17,.0,.,.,.,.,.,.,.,.,.,.,.,.,.18,.44,.62,.21,.18,68
Alhambra Unified,alhambra-unified,1975713,75713,.27,.25,.22,.26,.25,.25,.20,.30,.25,.30,.19,.26,.22,.36,.24,.18,.22,.36,.22,.20,.28,.38,.20,.14,.32,.33,.19,.16,.26,.32,.58,.21,.21,8295
Alisal Union,alisal-union,2765961,65961,.3,.8,.26,.63,.5,.13,.22,.61,.4,.21,.23,.51,.3,.23,.33,.41,.,.,.,.,.,.,.,.,.,.,.,.,.4,.16,.20,.26,.55,4684
Allensworth Elementary,allensworth-elementary,5471795,71795,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.0,.9,.36,.55,.0,.8,.33,.58,.0,.25,.42,.33,.,.,.,.,.0,.9,.9,.28,.63,54
Alpaugh Unified,alpaugh-unified,5471803,71803,.6,.8,.25,.61,.10,.10,.23,.58,.0,.27,.13,.60,.0,.8,.33,.58,.6,.6,.11,.78,.0,.4,.13,.83,.13,.19,.25,.44,.5,.10,.15,.21,.63,164
Alpine County Office of Education,alpine-county-office-of-education,210025,10025,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.*,.*,.*,.*,.*,.*,.*,.*,.*,3
Alpine County Unified,alpine-county-unified,261333,61333,.0,.36,.9,.55,.9,.45,.18,.27,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.*,.8,.50,.58,.14,.28,50
Alpine Union Elementary,alpine-union-elementary,3767967,67967,.13,.23,.31,.32,.21,.30,.24,.26,.14,.30,.26,.31,.6,.27,.34,.33,.8,.26,.27,.38,.7,.29,.36,.28,.,.,.,.,.12,.27,.39,.30,.31,1129
Alta Loma Elementary,alta-loma-elementary,3667595,67595,.29,.24,.21,.26,.26,.28,.23,.23,.26,.36,.19,.19,.16,.42,.27,.15,.16,.42,.28,.14,.20,.44,.26,.10,.,.,.,.,.22,.36,.58,.24,.18,4058
Alta Vista Elementary,alta-vista-elementary,5471811,71811,.3,.6,.18,.74,.1,.4,.14,.80,.0,.2,.12,.86,.0,.5,.31,.65,.1,.9,.28,.62,.0,.6,.27,.67,.,.,.,.,.1,.5,.6,.22,.72,386
Alta-Dutch Flat Union Elementary,alta-dutch-flat-union-elementary,3166779,66779,.*,.*,.*,.*,.25,.25,.25,.25,.*,.*,.*,.*,.*,.*,.*,.*,.33,.33,.17,.17,.*,.*,.*,.*,.,.,.,.,.31,.39,.70,.15,.15,61
Alum Rock Union Elementary,alum-rock-union-elementary,4369369,69369,.9,.19,.30,.42,.11,.18,.21,.50,.11,.27,.21,.40,.7,.23,.34,.37,.7,.28,.29,.36,.6,.29,.34,.30,.,.,.,.,.9,.24,.33,.28,.39,7270
Alview-Dairyland Union Elementary,alview-dairyland-union-elementary,2065177,65177,.9,.34,.36,.20,.15,.13,.43,.30,.16,.29,.32,.23,.9,.47,.26,.18,.5,.44,.26,.26,.0,.51,.32,.16,.,.,.,.,.9,.36,.45,.33,.22,229
Alvina Elementary,alvina-elementary,1061994,61994,.6,.50,.19,.25,.8,.19,.27,.46,.0,.18,.27,.55,.13,.19,.44,.25,.0,.23,.18,.59,.13,.39,.35,.13,.,.,.,.,.7,.28,.35,.28,.37,114
Alvord Unified,alvord-unified,3366977,66977,.11,.19,.28,.43,.12,.20,.26,.42,.12,.26,.22,.40,.8,.26,.30,.37,.7,.30,.26,.37,.5,.27,.35,.34,.12,.30,.30,.27,.10,.25,.35,.28,.37,10261
Amador County Office of Education,amador-county-office-of-education,310033,10033,.*,.*,.*,.*,.0,.8,.0,.92,.0,.0,.10,.90,.*,.*,.*,.*,.0,.0,.8,.92,.*,.*,.*,.*,.*,.*,.*,.*,.0,.2,.2,.5,.94,66
Amador County Unified,amador-county-unified,373981,73981,.10,.19,.35,.37,.15,.23,.25,.37,.9,.29,.25,.37,.7,.32,.36,.25,.3,.28,.31,.38,.3,.29,.31,.38,.21,.36,.27,.15,.10,.28,.38,.30,.32,1899
Anaheim City,anaheim-city,3066423,66423,.6,.12,.26,.57,.7,.15,.20,.57,.7,.20,.23,.50,.7,.24,.34,.35,.,.,.,.,.,.,.,.,.,.,.,.,.7,.17,.24,.26,.50,10504
Anaheim Union High,anaheim-union-high,3066431,66431,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.10,.27,.27,.35,.9,.29,.31,.31,.23,.35,.26,.17,.14,.30,.44,.28,.28,14629
Anderson Union High,anderson-union-high,4569856,69856,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.13,.33,.30,.24,.13,.33,.46,.30,.24,424
Anderson Valley Unified,anderson-valley-unified,2365540,65540,.17,.19,.43,.21,.7,.26,.26,.40,.16,.35,.23,.26,.10,.40,.37,.13,.0,.30,.22,.48,.8,.45,.29,.18,.41,.38,.10,.10,.15,.33,.48,.27,.25,260
Antelope Elementary,antelope-elementary,5271472,71472,.15,.25,.32,.28,.23,.25,.34,.18,.19,.37,.21,.24,.10,.35,.36,.19,.25,.42,.18,.15,.11,.58,.21,.10,.,.,.,.,.17,.37,.54,.27,.19,459
Antelope Valley Union High,antelope-valley-union-high,1964246,64246,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.12,.49,.30,.10,.16,.48,.30,.7,.14,.32,.29,.25,.14,.33,.46,.29,.25,4963
Antioch Unified,antioch-unified,761648,61648,.8,.17,.28,.47,.9,.19,.24,.48,.6,.23,.24,.46,.5,.22,.32,.41,.4,.25,.28,.43,.4,.24,.33,.39,.15,.32,.29,.23,.7,.23,.31,.28,.41,8755
Apple Valley Unified,apple-valley-unified,3675077,75077,.16,.23,.28,.33,.14,.21,.21,.44,.9,.27,.25,.39,.8,.29,.35,.29,.5,.32,.31,.32,.6,.31,.39,.24,.15,.35,.25,.25,.10,.28,.38,.29,.33,6376
Arcadia Unified,arcadia-unified,1964261,64261,.50,.24,.16,.10,.53,.23,.12,.11,.48,.29,.12,.11,.39,.39,.14,.7,.35,.41,.15,.9,.32,.41,.16,.11,.51,.28,.12,.9,.44,.33,.76,.14,.10,4949
Arcata Elementary,arcata-elementary,1262679,62679,.21,.19,.26,.35,.13,.16,.20,.51,.2,.39,.13,.46,.9,.37,.34,.20,.20,.37,.23,.19,.3,.35,.34,.28,.,.,.,.,.11,.32,.43,.26,.30,361
Arcohe Union Elementary,arcohe-union-elementary,3467280,67280,.7,.21,.38,.33,.22,.22,.11,.44,.9,.36,.21,.34,.9,.51,.26,.14,.9,.43,.30,.18,.18,.45,.32,.5,.,.,.,.,.12,.37,.49,.26,.25,250
